12/13/2023 3:54:32 PM	"MAC Address"	"Vendor"	"SSID"	"Access Point Name"	"Connected AP"	"Signal Strength"	"Quality"	"Station Count"	"Frequency"	"Position"	"Info"	"Adapter"
12/13/2023 3:54:33 PM	D0:4D:C6:F2:A2:B1	""	"tudelft-dastud"	""	""	-77	46	"0"	"Ch 64 [5.320 GHz]"	""	"0 Stations, 8% Channel Utilization"	"Wi-Fi [Intel(R) Wireless-AC 9560 160MHz]"
12/13/2023 3:54:33 PM	00:1E:42:4C:89:FC	""	"Husky-IF-if-0000513"	""	""	-85	26	"0"	"Ch 6 [2.437 GHz]"	""	"0 Stations, 30% Channel Utilization"	"Wi-Fi [Intel(R) Wireless-AC 9560 160MHz]"
12/13/2023 3:54:33 PM	1C:28:AF:62:11:F1	""	"tudelft-dastud"	""	""	-74	57	"0"	"Ch 44 [5.220 GHz]"	""	"0 Stations, 11% Channel Utilization"	"Wi-Fi [Intel(R) Wireless-AC 9560 160MHz]"
12/13/2023 3:54:33 PM	1C:28:AF:5B:E5:42	""	"TUD-facility"	""	""	-71	65	"0"	"Ch 11 [2.462 GHz]"	""	"0 Stations, 58% Channel Utilization"	"Wi-Fi [Intel(R) Wireless-AC 9560 160MHz]"
12/13/2023 3:54:33 PM	D0:4D:C6:F3:07:F2	""	"TUD-facility"	""	""	-82	33	"0"	"Ch 52 [5.260 GHz]"	""	"0 Stations, 5% Channel Utilization"	"Wi-Fi [Intel(R) Wireless-AC 9560 160MHz]"
12/13/2023 3:54:33 PM	D0:4D:C6:F3:07:F1	""	"tudelft-dastud"	""	""	-81	35	"1"	"Ch 52 [5.260 GHz]"	""	"1 Station, 5% Channel Utilization"	"Wi-Fi [Intel(R) Wireless-AC 9560 160MHz]"
12/13/2023 3:54:33 PM	D0:4D:C6:F2:61:30	""	"eduroam"	""	""	-61	82	"5"	"Ch 136 [5.680 GHz]"	""	"5 Stations, 2% Channel Utilization"	"Wi-Fi [Intel(R) Wireless-AC 9560 160MHz]"
12/13/2023 3:54:33 PM	D0:4D:C6:F2:EC:91	""	"tudelft-dastud"	""	""	-68	72	"0"	"Ch 104 [5.520 GHz]"	""	"0 Stations, 3% Channel Utilization"	"Wi-Fi [Intel(R) Wireless-AC 9560 160MHz]"
12/13/2023 3:54:33 PM	D0:4D:C6:F2:B2:B2	""	"TUD-facility"	""	""	-80	38	"0"	"Ch 104 [5.520 GHz]"	""	"0 Stations, 7% Channel Utilization"	"Wi-Fi [Intel(R) Wireless-AC 9560 160MHz]"
12/13/2023 3:54:33 PM	1C:28:AF:62:01:D1	""	"tudelft-dastud"	""	""	-71	65	"0"	"Ch 36 [5.180 GHz]"	""	"0 Stations, 13% Channel Utilization"	"Wi-Fi [Intel(R) Wireless-AC 9560 160MHz]"
12/13/2023 3:54:33 PM	D0:4D:C6:F2:BC:50	""	"eduroam"	""	""	-82	31	"3"	"Ch 112 [5.560 GHz]"	""	"3 Stations, 5% Channel Utilization"	"Wi-Fi [Intel(R) Wireless-AC 9560 160MHz]"
12/13/2023 3:54:33 PM	1C:28:AF:65:D3:72	""	"TUD-facility"	""	""	-82	33	"0"	"Ch 108 [5.540 GHz]"	""	"0 Stations, 3% Channel Utilization"	"Wi-Fi [Intel(R) Wireless-AC 9560 160MHz]"
12/13/2023 3:54:33 PM	D0:4D:C6:F2:C5:D2	""	"TUD-facility"	""	""	-85	26	"0"	"Ch 108 [5.540 GHz]"	""	"0 Stations, 2% Channel Utilization"	"Wi-Fi [Intel(R) Wireless-AC 9560 160MHz]"
12/13/2023 3:54:33 PM	DA:59:9B:9A:37:49	""	"DonneG"	""	""	-65	80	""	"Ch 6 [2.437 GHz]"	""	""	"Wi-Fi [Intel(R) Wireless-AC 9560 160MHz]"
12/13/2023 3:54:33 PM	1C:28:AF:65:FE:11	""	"tudelft-dastud"	""	""	-82	33	"0"	"Ch 140 [5.700 GHz]"	""	"0 Stations, 1% Channel Utilization"	"Wi-Fi [Intel(R) Wireless-AC 9560 160MHz]"
12/13/2023 3:54:33 PM	D0:4D:C6:F2:A2:B2	""	"TUD-facility"	""	""	-76	50	"0"	"Ch 64 [5.320 GHz]"	""	"0 Stations, 8% Channel Utilization"	"Wi-Fi [Intel(R) Wireless-AC 9560 160MHz]"
12/13/2023 3:54:33 PM	D0:4D:C6:F2:71:10	""	"eduroam"	""	""	-85	26	"19"	"Ch 36 [5.180 GHz]"	""	"19 Stations, 11% Channel Utilization"	"Wi-Fi [Intel(R) Wireless-AC 9560 160MHz]"
12/13/2023 3:54:33 PM	D0:4D:C6:F2:EC:92	""	"TUD-facility"	""	""	-68	72	"0"	"Ch 104 [5.520 GHz]"	""	"0 Stations, 3% Channel Utilization"	"Wi-Fi [Intel(R) Wireless-AC 9560 160MHz]"
12/13/2023 3:54:33 PM	1C:28:AF:5C:09:71	""	"tudelft-dastud"	""	""	-51	87	"0"	"Ch 52 [5.260 GHz]"	""	"0 Stations, 4% Channel Utilization"	"Wi-Fi [Intel(R) Wireless-AC 9560 160MHz]"
12/13/2023 3:54:33 PM	1C:28:AF:65:FE:10	""	"eduroam"	""	""	-84	29	"3"	"Ch 140 [5.700 GHz]"	""	"3 Stations, 1% Channel Utilization"	"Wi-Fi [Intel(R) Wireless-AC 9560 160MHz]"
12/13/2023 3:54:33 PM	1C:28:AF:62:01:D0	""	"eduroam"	""	""	-71	65	"1"	"Ch 36 [5.180 GHz]"	""	"1 Station, 13% Channel Utilization"	"Wi-Fi [Intel(R) Wireless-AC 9560 160MHz]"
12/13/2023 3:54:33 PM	D0:4D:C6:F2:B2:B1	""	"tudelft-dastud"	""	""	-81	35	"0"	"Ch 104 [5.520 GHz]"	""	"0 Stations, 7% Channel Utilization"	"Wi-Fi [Intel(R) Wireless-AC 9560 160MHz]"
