12/8/2023 1:38:36 PM	"MAC Address"	"Vendor"	"SSID"	"Access Point Name"	"Connected AP"	"Signal Strength"	"Quality"	"Station Count"	"Frequency"	"Position"	"Info"	"Adapter"
12/8/2023 1:49:05 PM	D0:4D:C6:F2:C5:D0	"Aruba, a Hewlett Packard Enterprise Company"	"eduroam"	""	""	-89	18	"3"	"Ch 108 [5.540 GHz]"	""	"3 Stations, 7% Channel Utilization"	"Wi-Fi [Intel(R) Wi-Fi 6 AX201 160MHz]"
12/8/2023 1:49:05 PM	D0:4D:C6:F2:71:01	"Aruba, a Hewlett Packard Enterprise Company"	"tudelft-dastud"	""	""	-51	87	"0"	"Ch 1 [2.412 GHz]"	""	"0 Stations, 14% Channel Utilization"	"Wi-Fi [Intel(R) Wi-Fi 6 AX201 160MHz]"
12/8/2023 1:49:05 PM	1C:28:AF:66:50:02	"Aruba, a Hewlett Packard Enterprise Company"	"TUD-facility"	""	""	-74	57	"0"	"Ch 11 [2.462 GHz]"	""	"0 Stations, 16% Channel Utilization"	"Wi-Fi [Intel(R) Wi-Fi 6 AX201 160MHz]"
12/8/2023 1:49:10 PM	1C:28:AF:5B:EE:D0	"Aruba, a Hewlett Packard Enterprise Company"	"eduroam"	""	""	-67	75	"12"	"Ch 132 [5.660 GHz]"	""	"12 Stations, 2% Channel Utilization"	"Wi-Fi [Intel(R) Wi-Fi 6 AX201 160MHz]"
12/8/2023 1:49:10 PM	1C:28:AF:5B:EE:D2	"Aruba, a Hewlett Packard Enterprise Company"	"TUD-facility"	""	""	-67	75	"0"	"Ch 132 [5.660 GHz]"	""	"0 Stations, 2% Channel Utilization"	"Wi-Fi [Intel(R) Wi-Fi 6 AX201 160MHz]"
12/8/2023 1:49:10 PM	1C:28:AF:66:50:10	"Aruba, a Hewlett Packard Enterprise Company"	"eduroam"	""	""	-87	22	"7"	"Ch 56 [5.280 GHz]"	""	"7 Stations, 9% Channel Utilization"	"Wi-Fi [Intel(R) Wi-Fi 6 AX201 160MHz]"
12/8/2023 1:49:10 PM	1C:28:AF:5B:EE:D1	"Aruba, a Hewlett Packard Enterprise Company"	"tudelft-dastud"	""	""	-67	75	"0"	"Ch 132 [5.660 GHz]"	""	"0 Stations, 2% Channel Utilization"	"Wi-Fi [Intel(R) Wi-Fi 6 AX201 160MHz]"
12/8/2023 1:49:10 PM	D0:4D:C6:F3:0B:90	"Aruba, a Hewlett Packard Enterprise Company"	"eduroam"	""	""	-80	38	"28"	"Ch 100 [5.500 GHz]"	""	"28 Stations, 10% Channel Utilization"	"Wi-Fi [Intel(R) Wi-Fi 6 AX201 160MHz]"
12/8/2023 1:49:10 PM	D0:4D:C6:F2:FC:11	"Aruba, a Hewlett Packard Enterprise Company"	"tudelft-dastud"	""	""	-79	40	"1"	"Ch 52 [5.260 GHz]"	""	"1 Station, 6% Channel Utilization"	"Wi-Fi [Intel(R) Wi-Fi 6 AX201 160MHz]"
12/8/2023 1:49:10 PM	1C:28:AF:66:50:00	"Aruba, a Hewlett Packard Enterprise Company"	"eduroam"	""	""	-79	40	"1"	"Ch 11 [2.462 GHz]"	""	"1 Station, 8% Channel Utilization"	"Wi-Fi [Intel(R) Wi-Fi 6 AX201 160MHz]"
12/8/2023 1:49:10 PM	D0:4D:C6:F2:71:02	"Aruba, a Hewlett Packard Enterprise Company"	"TUD-facility"	""	""	-51	87	"0"	"Ch 1 [2.412 GHz]"	""	"0 Stations, 12% Channel Utilization"	"Wi-Fi [Intel(R) Wi-Fi 6 AX201 160MHz]"
12/8/2023 1:49:10 PM	1C:28:AF:62:11:F1	"Aruba, a Hewlett Packard Enterprise Company"	"tudelft-dastud"	""	""	-84	29	"0"	"Ch 44 [5.220 GHz]"	""	"0 Stations, 10% Channel Utilization"	"Wi-Fi [Intel(R) Wi-Fi 6 AX201 160MHz]"
12/8/2023 1:49:10 PM	1C:28:AF:5B:EE:C2	"Aruba, a Hewlett Packard Enterprise Company"	"TUD-facility"	""	""	-64	80	"0"	"Ch 1 [2.412 GHz]"	""	"0 Stations, 13% Channel Utilization"	"Wi-Fi [Intel(R) Wi-Fi 6 AX201 160MHz]"
12/8/2023 1:49:10 PM	1C:28:AF:66:75:70	"Aruba, a Hewlett Packard Enterprise Company"	"eduroam"	""	""	-90	16	"1"	"Ch 116 [5.580 GHz]"	""	"1 Station, 1% Channel Utilization"	"Wi-Fi [Intel(R) Wi-Fi 6 AX201 160MHz]"
12/8/2023 1:49:10 PM	D0:4D:C6:F2:FC:02	"Aruba, a Hewlett Packard Enterprise Company"	"TUD-facility"	""	""	-68	72	"0"	"Ch 1 [2.412 GHz]"	""	"0 Stations, 24% Channel Utilization"	"Wi-Fi [Intel(R) Wi-Fi 6 AX201 160MHz]"
12/8/2023 1:49:10 PM	1C:28:AF:65:FE:10	"Aruba, a Hewlett Packard Enterprise Company"	"eduroam"	""	""	-88	20	"2"	"Ch 140 [5.700 GHz]"	""	"2 Stations, 0% Channel Utilization"	"Wi-Fi [Intel(R) Wi-Fi 6 AX201 160MHz]"
12/8/2023 1:49:10 PM	D0:4D:C6:F3:0B:92	"Aruba, a Hewlett Packard Enterprise Company"	"TUD-facility"	""	""	-80	38	"0"	"Ch 100 [5.500 GHz]"	""	"0 Stations, 10% Channel Utilization"	"Wi-Fi [Intel(R) Wi-Fi 6 AX201 160MHz]"
12/8/2023 1:49:10 PM	1C:28:AF:5C:09:70	"Aruba, a Hewlett Packard Enterprise Company"	"eduroam"	""	""	-92	13	"9"	"Ch 52 [5.260 GHz]"	""	"9 Stations, 9% Channel Utilization"	"Wi-Fi [Intel(R) Wi-Fi 6 AX201 160MHz]"
12/8/2023 1:49:10 PM	1C:28:AF:66:28:11	"Aruba, a Hewlett Packard Enterprise Company"	"tudelft-dastud"	""	""	-88	20	"0"	"Ch 153 [5.765 GHz]"	""	"0 Stations, 2% Channel Utilization"	"Wi-Fi [Intel(R) Wi-Fi 6 AX201 160MHz]"
12/8/2023 1:49:10 PM	1C:28:AF:66:2A:B0	"Aruba, a Hewlett Packard Enterprise Company"	"eduroam"	""	""	-90	16	"3"	"Ch 149 [5.745 GHz]"	""	"3 Stations, 8% Channel Utilization"	"Wi-Fi [Intel(R) Wi-Fi 6 AX201 160MHz]"
12/8/2023 1:49:10 PM	1C:28:AF:66:28:00	"Aruba, a Hewlett Packard Enterprise Company"	"eduroam"	""	""	-84	29	"0"	"Ch 11 [2.462 GHz]"	""	"0 Stations, 14% Channel Utilization"	"Wi-Fi [Intel(R) Wi-Fi 6 AX201 160MHz]"
12/8/2023 1:49:10 PM	D0:4D:C6:F2:C5:C0	"Aruba, a Hewlett Packard Enterprise Company"	"eduroam"	""	""	-82	33	"0"	"Ch 11 [2.462 GHz]"	""	"0 Stations, 11% Channel Utilization"	"Wi-Fi [Intel(R) Wi-Fi 6 AX201 160MHz]"
12/8/2023 1:49:10 PM	D0:4D:C6:F3:0B:82	"Aruba, a Hewlett Packard Enterprise Company"	"TUD-facility"	""	""	-66	78	"0"	"Ch 11 [2.462 GHz]"	""	"0 Stations, 36% Channel Utilization"	"Wi-Fi [Intel(R) Wi-Fi 6 AX201 160MHz]"
12/8/2023 1:49:10 PM	1C:28:AF:5C:09:72	"Aruba, a Hewlett Packard Enterprise Company"	"TUD-facility"	""	""	-91	14	"0"	"Ch 52 [5.260 GHz]"	""	"0 Stations, 10% Channel Utilization"	"Wi-Fi [Intel(R) Wi-Fi 6 AX201 160MHz]"
12/8/2023 1:49:10 PM	D0:4D:C6:F2:EC:90	"Aruba, a Hewlett Packard Enterprise Company"	"eduroam"	""	""	-88	20	"20"	"Ch 104 [5.520 GHz]"	""	"20 Stations, 14% Channel Utilization"	"Wi-Fi [Intel(R) Wi-Fi 6 AX201 160MHz]"
12/8/2023 1:49:10 PM	D0:4D:C6:F2:F2:82	"Aruba, a Hewlett Packard Enterprise Company"	"TUD-facility"	""	""	-87	22	"0"	"Ch 6 [2.437 GHz]"	""	"0 Stations, 45% Channel Utilization"	"Wi-Fi [Intel(R) Wi-Fi 6 AX201 160MHz]"
12/8/2023 1:49:10 PM	1C:28:AF:65:FE:12	"Aruba, a Hewlett Packard Enterprise Company"	"TUD-facility"	""	""	-88	20	"0"	"Ch 140 [5.700 GHz]"	""	"0 Stations, 0% Channel Utilization"	"Wi-Fi [Intel(R) Wi-Fi 6 AX201 160MHz]"
12/8/2023 1:49:10 PM	00:1E:42:4C:89:FC	"Teltonika"	"Husky-IF-if-0000513"	""	""	-80	38	"0"	"Ch 6 [2.437 GHz]"	""	"0 Stations, 18% Channel Utilization"	"Wi-Fi [Intel(R) Wi-Fi 6 AX201 160MHz]"
12/8/2023 1:49:10 PM	D0:4D:C6:F2:71:12	"Aruba, a Hewlett Packard Enterprise Company"	"TUD-facility"	""	""	-50	88	"0"	"Ch 36 [5.180 GHz]"	""	"0 Stations, 11% Channel Utilization"	"Wi-Fi [Intel(R) Wi-Fi 6 AX201 160MHz]"
12/8/2023 1:49:10 PM	1C:28:AF:66:75:72	"Aruba, a Hewlett Packard Enterprise Company"	"TUD-facility"	""	""	-90	16	"0"	"Ch 116 [5.580 GHz]"	""	"0 Stations, 1% Channel Utilization"	"Wi-Fi [Intel(R) Wi-Fi 6 AX201 160MHz]"
12/8/2023 1:49:10 PM	1C:28:AF:66:11:C2	"Aruba, a Hewlett Packard Enterprise Company"	"TUD-facility"	""	""	-81	35	"0"	"Ch 1 [2.412 GHz]"	""	"0 Stations, 12% Channel Utilization"	"Wi-Fi [Intel(R) Wi-Fi 6 AX201 160MHz]"
12/8/2023 1:49:10 PM	1C:28:AF:65:E9:42	"Aruba, a Hewlett Packard Enterprise Company"	"TUD-facility"	""	""	-84	29	"0"	"Ch 1 [2.412 GHz]"	""	"0 Stations, 11% Channel Utilization"	"Wi-Fi [Intel(R) Wi-Fi 6 AX201 160MHz]"
12/8/2023 1:49:10 PM	1C:28:AF:65:E9:52	"Aruba, a Hewlett Packard Enterprise Company"	"TUD-facility"	""	""	-86	24	"0"	"Ch 161 [5.805 GHz]"	""	"0 Stations, 3% Channel Utilization"	"Wi-Fi [Intel(R) Wi-Fi 6 AX201 160MHz]"
